,Time,CHEM_SNR_LW1,CHEM_SNR_LW2,CHEM_SNR_LW3,CHEM_SNR_LW4,LAT,LON,ALT,LW1,LW2,LW3,LW4
93,55824,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.6963067,16.175,-99.0,-99.0,-99.0,-99.0
94,55825,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.6963067,16.171,-99.0,-99.0,-99.0,-99.0
95,55826,-99.0,-99.0,-99.0,-99.0,35.7274938,-78.6963066,16.162,-99.0,-99.0,-99.0,-99.0
96,55827,-99.0,-99.0,-99.0,-99.0,35.7274937,-78.6963066,16.165,-99.0,-99.0,-99.0,-99.0
97,55828,-99.0,-99.0,-99.0,-99.0,35.7274937,-78.6963066,16.192,-99.0,-99.0,-99.0,-99.0
98,55829,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963066,16.189,-99.0,-99.0,-99.0,-99.0
99,55830,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.196,-99.0,-99.0,-99.0,-99.0
100,55831,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.202,-99.0,-99.0,-99.0,-99.0
101,55832,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.207,-99.0,-99.0,-99.0,-99.0
102,55833,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.204,-99.0,-99.0,-99.0,-99.0
103,55834,-99.0,-99.0,-99.0,-99.0,35.7274934,-78.6963065,16.212,-99.0,-99.0,-99.0,-99.0
104,55835,-99.0,-99.0,-99.0,-99.0,35.7274933,-78.6963064,16.218,-99.0,-99.0,-99.0,-99.0
105,55836,-99.0,-99.0,-99.0,-99.0,35.7274932,-78.6963063,16.214,-99.0,-99.0,-99.0,-99.0
106,55837,-99.0,-99.0,-99.0,-99.0,35.727493,-78.6963061,16.208,-99.0,-99.0,-99.0,-99.0
107,55838,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963059,16.198,-99.0,-99.0,-99.0,-99.0
108,55839,-99.0,-99.0,-99.0,-99.0,35.7274928,-78.6963057,16.201,-99.0,-99.0,-99.0,-99.0
109,55840,-99.0,-99.0,-99.0,-99.0,35.7274928,-78.6963057,16.204,-99.0,-99.0,-99.0,-99.0
110,55841,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963056,16.22,-99.0,-99.0,-99.0,-99.0
111,55842,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963056,16.215,-99.0,-99.0,-99.0,-99.0
112,55843,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963055,16.215,-99.0,-99.0,-99.0,-99.0
113,55844,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963055,16.212,-99.0,-99.0,-99.0,-99.0
114,55845,-99.0,-99.0,-99.0,-99.0,35.727493,-78.6963054,16.202,-99.0,-99.0,-99.0,-99.0
115,55846,-99.0,-99.0,-99.0,-99.0,35.727493,-78.6963053,16.196,-99.0,-99.0,-99.0,-99.0
116,55847,-99.0,-99.0,-99.0,-99.0,35.727493,-78.6963052,16.191,-99.0,-99.0,-99.0,-99.0
117,55848,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963051,16.22,-99.0,-99.0,-99.0,-99.0
118,55849,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963049,16.244,-99.0,-99.0,-99.0,-99.0
119,55850,-99.0,-99.0,-99.0,-99.0,35.7274928,-78.6963047,16.263,-99.0,-99.0,-99.0,-99.0
120,55851,-99.0,-99.0,-99.0,-99.0,35.7274927,-78.6963045,16.285,-99.0,-99.0,-99.0,-99.0
121,55852,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.6963043,16.292,-99.0,-99.0,-99.0,-99.0
122,55853,-99.0,-99.0,-99.0,-99.0,35.7274925,-78.6963043,16.293,-99.0,-99.0,-99.0,-99.0
123,55854,-99.0,-99.0,-99.0,-99.0,35.7274924,-78.6963043,16.298,-99.0,-99.0,-99.0,-99.0
124,55855,-99.0,-99.0,-99.0,-99.0,35.7274924,-78.6963042,16.301,-99.0,-99.0,-99.0,-99.0
125,55856,-99.0,-99.0,-99.0,-99.0,35.7274923,-78.6963042,16.296,-99.0,-99.0,-99.0,-99.0
126,55857,-99.0,-99.0,-99.0,-99.0,35.7274921,-78.6963041,0.01,-99.0,-99.0,-99.0,-99.0
127,55858,-99.0,-99.0,-99.0,-99.0,35.7274919,-78.6963039,0.008,-99.0,-99.0,-99.0,-99.0
128,55859,-99.0,-99.0,-99.0,-99.0,35.7274918,-78.6963038,0.002,12.277809,-12.060598,-51.182587,-52.13802
129,55860,-99.0,-99.0,-99.0,-99.0,35.7274916,-78.6963037,-0.002,12.469376,-12.833494,-53.747284,-52.625412
130,55861,-99.0,-99.0,-99.0,-99.0,35.7274914,-78.6963038,-0.006,12.122158,-12.782965,-49.500885,-51.36824
131,55862,-99.0,-99.0,-99.0,-99.0,35.7274912,-78.6963038,0.01,12.379101,-13.670158,-50.547184,-53.533985
132,55863,-99.0,-99.0,-99.0,-99.0,35.7274897,-78.6963023,0.961,12.661877,-11.969215,-50.148911,-52.266136
